step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
2700 2.800122e-01 1 3.478149e-05 4.407244e-11 4.434638e-15
2710 2.811691e-01 1 3.466274e-05 4.442680e-11 4.457765e-15
2720 2.823270e-01 1 3.453966e-05 4.518787e-11 4.452705e-15
2730 2.834859e-01 1 3.441217e-05 4.553873e-11 4.396375e-15
2740 2.846456e-01 1 3.428043e-05 4.554554e-11 4.400702e-15
2750 2.858063e-01 1 3.414445e-05 4.574670e-11 4.420383e-15
2760 2.869680e-01 1 3.400417e-05 4.610434e-11 4.441095e-15
2770 2.881305e-01 1 3.385976e-05 4.646161e-11 4.461568e-15
2780 2.892940e-01 1 3.371127e-05 4.595984e-11 4.443214e-15
2790 2.904585e-01 1 3.355865e-05 4.631678e-11 4.463281e-15
2800 2.916238e-01 1 3.340201e-05 4.667326e-11 4.483098e-15
2810 2.927901e-01 1 3.324140e-05 4.702923e-11 4.502665e-15
2820 2.939573e-01 1 3.307686e-05 4.738465e-11 4.521976e-15
2830 2.951254e-01 1 3.290844e-05 4.773947e-11 4.541030e-15
2840 2.962945e-01 1 3.273629e-05 4.229965e-11 4.142193e-15
2850 2.974644e-01 1 3.256021e-05 4.259734e-11 4.158258e-15
2860 2.986353e-01 1 3.238049e-05 4.289438e-11 4.174111e-15
2870 2.998071e-01 1 3.219714e-05 4.319074e-11 4.189745e-15
2880 3.009799e-01 1 3.201019e-05 4.348638e-11 4.205159e-15
2890 3.021535e-01 1 3.181988e-05 3.897660e-11 3.940776e-15
2900 3.033280e-01 1 3.162584e-05 3.817964e-11 3.895457e-15
2910 3.045035e-01 1 3.142845e-05 3.840760e-11 3.907731e-15
2920 3.056799e-01 1 3.122777e-05 3.863471e-11 3.919814e-15
2930 3.068572e-01 1 3.102384e-05 3.575291e-11 3.822556e-15
2940 3.080353e-01 1 3.081672e-05 3.563031e-11 3.817623e-15
2950 3.092144e-01 1 3.060646e-05 3.598836e-11 3.830824e-15
2960 3.103944e-01 1 3.039311e-05 3.617355e-11 3.841105e-15
2970 3.115753e-01 1 3.017683e-05 3.594330e-11 3.839197e-15
2980 3.127571e-01 1 2.995758e-05 3.454400e-11 3.775389e-15
2990 3.139398e-01 1 2.973548e-05 3.470076e-11 3.784551e-15
3000 3.151234e-01 1 2.951064e-05 3.457466e-11 3.786988e-15
3010 3.163079e-01 1 2.928315e-05 3.327983e-11 3.741076e-15
3020 3.174933e-01 1 2.905296e-05 3.341704e-11 3.749655e-15
3030 3.186796e-01 1 2.882027e-05 3.355305e-11 3.758054e-15
3040 3.198667e-01 1 2.858513e-05 3.368786e-11 3.766275e-15
3050 3.210548e-01 1 2.834761e-05 3.382146e-11 3.774316e-15
3060 3.222437e-01 1 2.810780e-05 3.384988e-11 3.776039e-15
3070 3.234336e-01 1 2.786575e-05 3.398089e-11 3.783756e-15
3080 3.246243e-01 1 2.762158e-05 3.411067e-11 3.791290e-15
3090 3.258159e-01 1 2.737535e-05 3.423919e-11 3.798641e-15
3100 3.270084e-01 1 2.712716e-05 3.436646e-11 3.805806e-15
3110 3.282017e-01 1 2.687709e-05 3.449247e-11 3.812786e-15
3120 3.293959e-01 1 2.662523e-05 3.461720e-11 3.819577e-15
3130 3.305910e-01 1 2.637165e-05 3.474066e-11 3.826180e-15
3140 3.317870e-01 1 2.611645e-05 3.486283e-11 3.832594e-15
3150 3.329839e-01 1 2.585972e-05 3.498370e-11 3.838817e-15
3160 3.341816e-01 1 2.560155e-05 3.510327e-11 3.844848e-15
3170 3.353802e-01 1 2.534203e-05 3.522154e-11 3.850687e-15
3180 3.365796e-01 1 2.508124e-05 3.533849e-11 3.856332e-15
3190 3.377799e-01 1 2.481929e-05 3.545412e-11 3.861782e-15
3200 3.389811e-01 1 2.455626e-05 3.556842e-11 3.867038e-15
3210 3.401831e-01 1 2.429224e-05 3.568139e-11 3.872097e-15
3220 3.413860e-01 1 2.402734e-05 3.579302e-11 3.876960e-15
3230 3.425898e-01 1 2.376165e-05 3.589930e-11 3.883495e-15
3240 3.437943e-01 1 2.349534e-05 3.539098e-11 3.887987e-15
3250 3.449998e-01 1 2.322831e-05 3.550092e-11 3.892295e-15
3260 3.462061e-01 1 2.296081e-05 3.560954e-11 3.896403e-15
3270 3.474132e-01 1 2.269294e-05 3.571682e-11 3.900310e-15
3280 3.486212e-01 1 2.242477e-05 3.582276e-11 3.904015e-15
3290 3.498301e-01 1 2.215640e-05 3.592736e-11 3.907518e-15
3300 3.510397e-01 1 2.188795e-05 3.603061e-11 3.910818e-15
3310 3.522503e-01 1 2.161951e-05 3.613251e-11 3.913915e-15
3320 3.534616e-01 1 2.135122e-05 3.630253e-11 3.952827e-15
3330 3.546738e-01 1 2.108313e-05 3.661983e-11 4.036719e-15
3340 3.558868e-01 1 2.081536e-05 3.671452e-11 4.038149e-15
3350 3.571007e-01 1 2.054805e-05 3.680787e-11 4.039380e-15
3360 3.583153e-01 1 2.028131e-05 3.689985e-11 4.040412e-15
3370 3.595308e-01 1 2.001526e-05 3.690755e-11 4.038738e-15
3380 3.607472e-01 1 1.974997e-05 3.699672e-11 4.039380e-15
3390 3.619643e-01 1 1.948561e-05 3.708452e-11 4.039824e-15
3400 3.631823e-01 1 1.922232e-05 3.628928e-11 4.011310e-15
3410 3.644011e-01 1 1.896015e-05 3.544207e-11 3.980124e-15
3420 3.656207e-01 1 1.869918e-05 3.552420e-11 3.980210e-15
3430 3.668411e-01 1 1.843964e-05 3.560505e-11 3.980102e-15
3440 3.680624e-01 1 1.818164e-05 3.568463e-11 3.979799e-15
3450 3.692844e-01 1 1.792547e-05 3.322075e-11 3.977420e-15
3460 3.705073e-01 1 1.767077e-05 3.328866e-11 3.976721e-15
3470 3.717310e-01 1 1.741812e-05 3.335539e-11 3.975830e-15
3480 3.729554e-01 1 1.716755e-05 3.342094e-11 3.974745e-15
3490 3.741807e-01 1 1.691920e-05 3.352056e-11 3.992963e-15
3500 3.754068e-01 1 1.667316e-05 3.358390e-11 3.991460e-15
3510 3.766336e-01 1 1.642963e-05 3.364604e-11 3.989764e-15
3520 3.778613e-01 1 1.618874e-05 3.370700e-11 3.987875e-15
3530 3.790897e-01 1 1.595068e-05 3.317761e-11 3.964381e-15
3540 3.803190e-01 1 1.571549e-05 3.320613e-11 3.948506e-15
3550 3.815490e-01 1 1.548343e-05 3.326360e-11 3.946202e-15
3560 3.827798e-01 1 1.525464e-05 3.331990e-11 3.943709e-15
3570 3.840114e-01 1 1.502928e-05 3.337503e-11 3.941027e-15
3580 3.852438e-01 1 1.480752e-05 3.342900e-11 3.938156e-15
3590 3.864770e-01 1 1.458953e-05 3.348179e-11 3.935097e-15
3600 3.877109e-01 1 1.437547e-05 3.353341e-11 3.931852e-15
3610 3.889456e-01 1 1.416553e-05 3.358386e-11 3.928420e-15
3620 3.901811e-01 1 1.395991e-05 3.384360e-11 4.008121e-15
3630 3.914174e-01 1 1.375872e-05 3.388966e-11 4.003596e-15
3640 3.926544e-01 1 1.356220e-05 3.393456e-11 3.998891e-15
3650 3.938922e-01 1 1.337052e-05 3.397831e-11 3.994008e-15
3660 3.951308e-01 1 1.318386e-05 3.402090e-11 3.988947e-15
3670 3.963701e-01 1 1.300241e-05 3.406234e-11 3.983711e-15
3680 3.976102e-01 1 1.282636e-05 3.414453e-11 3.981090e-15
3690 3.988511e-01 1 1.265587e-05 3.418369e-11 3.975489e-15
3700 4.000927e-01 1 1.249115e-05 3.422170e-11 3.969715e-15
3710 4.013350e-01 1 1.233240e-05 3.431573e-11 3.966258e-15
3720 4.025781e-01 1 1.217972e-05 3.435084e-11 3.960121e-15
3730 4.038220e-01 1 1.203334e-05 3.438481e-11 3.953815e-15
3740 4.050666e-01 1 1.189343e-05 3.441764e-11 3.947341e-15
3750 4.063119e-01 1 1.176015e-05 3.444932e-11 3.940700e-15
3760 4.075580e-01 1 1.163364e-05 3.447987e-11 3.933894e-15
